code,note,prj4,prj_method
4132,FD58,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4133,EST92,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4134,PSD93,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4135,Old Hawaiian,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4136,St. Lawrence Island,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4137,St. Paul Island,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4138,St. George Island,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4139,Puerto Rico,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4140,"NAD83(CSRS98)",+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4141,Israel 1993,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4142,Locodjo 1965,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4143,Abidjan 1987,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4144,Kalianpur 1937,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
4145,Kalianpur 1962,+proj=longlat +a=6377301.243 +rf=300.8017255 +no_defs +type=crs,(null)
4146,Kalianpur 1975,+proj=longlat +a=6377299.151 +rf=300.8017255 +no_defs +type=crs,(null)
4147,Hanoi 1972,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4148,Hartebeesthoek94,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4149,CH1903,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4150,CH1903+,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4151,CHTRF95,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4152,"NAD83(HARN)",+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4153,Rassadiran,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4154,ED50(ED77),+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4155,Dabola 1981,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4156,S-JTSK,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4157,Mount Dillon,+proj=longlat +a=6378293.64520876 +b=6356617.98767984 +no_defs +type=crs,(null)
4158,Naparima 1955,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4159,ELD79,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4160,Chos Malal 1914,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4161,Pampa del Castillo,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4162,Korean 1985,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4163,Yemen NGN96,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4164,South Yemen,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4165,Bissau,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4166,Korean 1995,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4167,NZGD2000,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4168,Accra,+proj=longlat +a=6378300 +rf=296 +no_defs +type=crs,(null)
4169,American Samoa 1962,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4170,SIRGAS 1995,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4171,RGF93,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4172,POSGAR,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4173,IRENET95,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4174,Sierra Leone 1924,+proj=longlat +a=6378300 +rf=296 +no_defs +type=crs,(null)
4175,Sierra Leone 1968,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4176,Australian Antarctic,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4178,Pulkovo 1942(83),+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4179,Pulkovo 1942(58),+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4180,EST97,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4181,Luxembourg 1930,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4182,Azores Occidental 1939,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4183,Azores Central 1948,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4184,Azores Oriental 1940,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4185,Madeira 1936,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4188,OSNI 1952,+proj=longlat +ellps=airy +no_defs +type=crs,(null)
4189,REGVEN,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4190,POSGAR 98,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4191,Albanian 1987,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4192,Douala 1948,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4193,Manoca 1962,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4194,Qornoq 1927,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4195,Scoresbysund 1952,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4196,Ammassalik 1958,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4197,Garoua,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4198,Kousseri,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4199,Egypt 1930,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4200,Pulkovo 1995,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4201,Adindan,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4202,AGD66,+proj=longlat +ellps=aust_SA +no_defs +type=crs,(null)
4203,AGD84,+proj=longlat +ellps=aust_SA +no_defs +type=crs,(null)
4204,Ain el Abd,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4205,Afgooye,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4206,Agadez,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4207,Lisbon,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4208,Aratu,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4209,Arc 1950,+proj=longlat +a=6378249.145 +rf=293.4663077 +no_defs +type=crs,(null)
4210,Arc 1960,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4211,Batavia,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4212,Barbados 1938,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4213,Beduaram,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4214,Beijing 1954,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4215,Belge 1950,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4216,Bermuda 1957,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4218,Bogota 1975,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4219,Bukit Rimpah,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4220,Camacupa 1948,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4221,Campo Inchauspe,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4222,Cape,+proj=longlat +a=6378249.145 +rf=293.4663077 +no_defs +type=crs,(null)
4223,Carthage,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4224,Chua,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4225,Corrego Alegre 1970-72,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4226,Cote d'Ivoire,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4227,Deir ez Zor,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4228,Douala,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4229,Egypt 1907,+proj=longlat +ellps=helmert +no_defs +type=crs,(null)
4230,ED50,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4231,ED87,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4232,Fahud,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4233,Gandajika 1970,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4234,Garoua,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4235,Guyane Francaise,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4236,Hu Tzu Shan 1950,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4237,HD72,+proj=longlat +ellps=GRS67 +no_defs +type=crs,(null)
4238,ID74,+proj=longlat +a=6378160 +rf=298.247 +no_defs +type=crs,(null)
4239,Indian 1954,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
4240,Indian 1975,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
4241,Jamaica 1875,+proj=longlat +a=6378249.14480801 +b=6356514.96620413 +no_defs +type=crs,(null)
4242,JAD69,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4243,Kalianpur 1880,+proj=longlat +a=6377299.36559538 +b=6356098.35900516 +no_defs +type=crs,(null)
4244,Kandawala,+proj=longlat +ellps=evrst30 +no_defs +type=crs,(null)
4245,Kertau 1968,+proj=longlat +ellps=evrst48 +no_defs +type=crs,(null)
4246,KOC,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4247,La Canoa,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4248,PSAD56,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4249,Lake,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4250,Leigon,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4251,Liberia 1964,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4252,Lome,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4253,Luzon 1911,+proj=longlat +ellps=clrk66 +no_defs +type=crs,(null)
4254,Hito XVIII 1963,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4255,Herat North,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4256,Mahe 1971,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4257,Makassar,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4258,ETRS89,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4259,Malongo 1987,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4260,Manoca,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4261,Merchich,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4262,Massawa,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4263,Minna,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4264,Mhast,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4265,Monte Mario,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4266,M'poraloko,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4267,"NAD27",+proj=longlat +datum=NAD27 +no_defs +type=crs,(null)
4268,"NAD27 Michigan",+proj=longlat +a=6378450.0475489 +b=6356826.62148844 +no_defs +type=crs,(null)
4269,"NAD83",+proj=longlat +datum=NAD83 +no_defs +type=crs,(null)
4270,Nahrwan 1967,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4271,Naparima 1972,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4272,NZGD49,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4273,NGO 1948,+proj=longlat +a=6377492.018 +rf=299.1528128 +no_defs +type=crs,(null)
4274,Datum 73,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4275,NTF,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4276,NSWC 9Z-2,+proj=longlat +ellps=NWL9D +no_defs +type=crs,(null)
4277,OSGB 1936,+proj=longlat +ellps=airy +no_defs +type=crs,(null)
4278,OSGB70,+proj=longlat +ellps=airy +no_defs +type=crs,(null)
4279,OS(SN)80,+proj=longlat +ellps=airy +no_defs +type=crs,(null)
4280,Padang,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4281,Palestine 1923,+proj=longlat +a=6378300.789 +b=6356566.435 +no_defs +type=crs,(null)
4282,Pointe Noire,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4283,GDA94,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4284,Pulkovo 1942,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4285,Qatar 1974,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4286,Qatar 1948,+proj=longlat +ellps=helmert +no_defs +type=crs,(null)
4287,Qornoq,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4288,Loma Quintana,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4289,Amersfoort,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4291,SAD69,+proj=longlat +ellps=GRS67 +no_defs +type=crs,(null)
4292,Sapper Hill 1943,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4293,Schwarzeck,+proj=longlat +ellps=bess_nam +no_defs +type=crs,(null)
4294,Segora,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4295,Serindung,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4296,Sudan,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4297,Tananarive,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4298,Timbalai 1948,+proj=longlat +ellps=evrstSS +no_defs +type=crs,(null)
4299,TM65,+proj=longlat +a=6377340.189 +rf=299.3249646 +no_defs +type=crs,(null)
4300,TM75,+proj=longlat +a=6377340.189 +rf=299.3249646 +no_defs +type=crs,(null)
4301,Tokyo,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4302,Trinidad 1903,+proj=longlat +a=6378293.64520876 +b=6356617.98767984 +no_defs +type=crs,(null)
4303,TC(1948),+proj=longlat +ellps=helmert +no_defs +type=crs,(null)
4304,Voirol 1875,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4306,Bern 1938,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4307,Nord Sahara 1959,+proj=longlat +a=6378249.145 +rf=293.465 +no_defs +type=crs,(null)
4308,RT38,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4309,Yacare,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4310,Yoff,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4311,Zanderij,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4312,MGI,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4313,Belge 1972,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4314,DHDN,+proj=longlat +ellps=bessel +no_defs +type=crs,(null)
4315,Conakry 1905,+proj=longlat +ellps=clrk80ign +no_defs +type=crs,(null)
4316,Dealul Piscului 1930,+proj=longlat +ellps=intl +no_defs +type=crs,(null)
4317,Dealul Piscului 1970,+proj=longlat +ellps=krass +no_defs +type=crs,(null)
4318,NGN,+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4319,KUDAMS,+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4322,WGS 72,+proj=longlat +ellps=WGS72 +no_defs +type=crs,(null)
4324,WGS 72BE,+proj=longlat +ellps=WGS72 +no_defs +type=crs,(null)
4326,WGS 84,+proj=longlat +datum=WGS84 +no_defs +type=crs,(null)
4327,WGS 84 (geographic 3D),+proj=longlat +datum=WGS84 +no_defs +type=crs,(null)
4328,WGS 84 (geocentric),+proj=geocent +datum=WGS84 +units=m +no_defs +type=crs,(null)
4329,WGS 84 (3D),+proj=longlat +datum=WGS84 +no_defs +type=crs,(null)
4330,ITRF88 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4331,ITRF89 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4332,ITRF90 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4333,ITRF91 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4334,ITRF92 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4335,ITRF93 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4336,ITRF94 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4337,ITRF96 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4338,ITRF97 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4339,Australian Antarctic (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4340,Australian Antarctic (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4341,EST97 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4342,EST97 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4343,CHTRF95 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4344,CHTRF95 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4345,ETRS89 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4346,ETRS89 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4347,GDA94 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4348,GDA94 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4349,Hartebeesthoek94 (3D),+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4350,Hartebeesthoek94 (geocentric),+proj=geocent +ellps=WGS84 +units=m +no_defs +type=crs,(null)
4351,IRENET95 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4352,IRENET95 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4353,JGD2000 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4354,JGD2000 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4355,LKS94 (ETRS89) (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4356,LKS94 (ETRS89) (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4357,Moznet (3D),+proj=longlat +ellps=WGS84 +no_defs +type=crs,(null)
4358,Moznet (geocentric),+proj=geocent +ellps=WGS84 +units=m +no_defs +type=crs,(null)
4359,"NAD83(CSRS) (3D)",+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4360,"NAD83(CSRS) (geocentric)",+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4361,"NAD83(HARN) (3D)",+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4362,"NAD83(HARN) (geocentric)",+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4363,NZGD2000 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
4364,NZGD2000 (geocentric),+proj=geocent +ellps=GRS80 +units=m +no_defs +type=crs,(null)
4365,POSGAR 98 (3D),+proj=longlat +ellps=GRS80 +no_defs +type=crs,(null)
